PROJECT_NAME,PROJECT_VERSION,SAME_FAILING_TESTS,JAGUAR_CONTAINS_DEFECTS4J,SAME_COVERAGE,DUA_COVERAGE_DIFFERENCE
Csv, 15b, False, False, False, 2
Csv, 16b, True, True, False, 2
Csv, 1b, True, True, True, 0
Csv, 2b, False, True, True, 0
Csv, 3b, False, True, True, 0
Csv, 4b, False, True, True, 0
Csv, 5b, False, True, True, 0
Csv, 6b, False, True, True, 0
Csv, 7b, False, True, True, 0
Csv, 8b, False, True, True, 0
Csv, 9b, False, True, True, 0
Gson, 10b, True, True, False, 2
Gson, 11b, True, True, False, 2
Gson, 12b, True, True, False, 2
Gson, 13b, True, True, False, 2
Gson, 14b, True, True, False, 2
Gson, 15b, True, True, False, 2
Gson, 16b, True, True, False, 2
Gson, 17b, True, True, False, 2
Gson, 18b, True, True, False, 2
Gson, 1b, False, True, False, 1
Gson, 2b, True, True, False, 2
Gson, 3b, True, True, False, 2
Gson, 4b, True, True, False, 2
Gson, 5b, True, True, False, 2
Gson, 6b, True, True, False, 2
Gson, 7b, True, True, False, 2
Gson, 8b, True, True, False, 2
Gson, 9b, True, True, False, 2
JacksonCore, 10b, True, True, False, 1
JacksonCore, 11b, True, True, False, 1
JacksonCore, 12b, True, True, False, 1
JacksonCore, 13b, True, True, False, 1
JacksonCore, 14b, True, True, False, 1
JacksonCore, 15b, True, True, False, 1
JacksonCore, 16b, True, True, False, 1
JacksonCore, 17b, True, True, False, 1
JacksonCore, 18b, True, True, False, 1
JacksonCore, 19b, False, False, False, 1
JacksonCore, 1b, True, True, True, 0
JacksonCore, 20b, True, True, False, 1
JacksonCore, 21b, True, True, False, 1
JacksonCore, 22b, True, True, False, 1
JacksonCore, 23b, True, True, False, 1
JacksonCore, 24b, True, True, False, 1
JacksonCore, 25b, False, False, False, 1
JacksonCore, 26b, True, True, False, 1
JacksonCore, 2b, True, True, False, 1
JacksonCore, 3b, True, True, False, 1
JacksonCore, 4b, True, True, False, 1
JacksonCore, 5b, True, True, False, 1
JacksonCore, 6b, True, True, False, 1
JacksonCore, 7b, True, True, False, 1
JacksonCore, 8b, True, True, False, 1
JacksonCore, 9b, True, True, False, 1
JacksonXml, 1b, True, True, True, 0
JacksonXml, 2b, True, True, True, 0
JacksonXml, 3b, True, True, True, 0
JacksonXml, 4b, True, True, True, 0
JacksonXml, 5b, True, True, True, 0
JacksonXml, 6b, True, True, True, 0
Jsoup, 10b, True, True, False, 2
Jsoup, 11b, True, True, False, 2
Jsoup, 12b, True, True, False, 2
Jsoup, 13b, True, True, False, 3
Jsoup, 14b, True, True, False, 3
Jsoup, 15b, True, True, False, 3
Jsoup, 16b, True, True, False, 3
Jsoup, 17b, True, True, False, 3
Jsoup, 18b, True, True, False, 3
Jsoup, 19b, True, True, False, 3
Jsoup, 1b, True, True, False, 1
Jsoup, 20b, True, True, False, 3
Jsoup, 21b, True, True, False, 3
Jsoup, 22b, True, True, False, 3
Jsoup, 23b, True, True, False, 3
Jsoup, 24b, True, True, False, 3
Jsoup, 25b, True, True, False, 3
Jsoup, 26b, True, True, False, 3
Jsoup, 27b, True, True, False, 3
Jsoup, 28b, True, True, False, 2
Jsoup, 29b, True, True, False, 2
Jsoup, 2b, True, True, False, 1
Jsoup, 30b, True, True, False, 2
Jsoup, 31b, True, True, False, 2
Jsoup, 32b, True, True, False, 2
Jsoup, 33b, True, True, False, 2
Jsoup, 34b, True, True, False, 2
Jsoup, 35b, True, True, False, 2
Jsoup, 36b, True, True, False, 2
Jsoup, 37b, True, True, False, 2
Jsoup, 38b, True, True, False, 2
Jsoup, 39b, True, True, False, 2
Jsoup, 3b, True, True, False, 1
Jsoup, 40b, True, True, False, 2
Jsoup, 41b, True, True, False, 2
Jsoup, 42b, True, True, False, 2
Jsoup, 43b, True, True, False, 2
Jsoup, 44b, True, True, False, 2
Jsoup, 45b, True, True, False, 2
Jsoup, 46b, True, True, False, 2
Jsoup, 47b, True, True, False, 2
Jsoup, 48b, True, True, False, 2
Jsoup, 49b, True, True, False, 2
Jsoup, 4b, True, True, False, 1
Jsoup, 50b, True, True, False, 2
Jsoup, 51b, True, True, False, 2
Jsoup, 52b, True, True, False, 2
Jsoup, 53b, True, True, False, 2
Jsoup, 54b, True, True, False, 2
Jsoup, 55b, True, True, False, 2
Jsoup, 56b, True, True, False, 2
Jsoup, 57b, True, True, False, 2
Jsoup, 58b, True, True, False, 2
Jsoup, 59b, True, True, False, 2
Jsoup, 5b, True, True, False, 1
Jsoup, 60b, True, True, False, 2
Jsoup, 61b, True, True, False, 2
Jsoup, 62b, True, True, False, 2
Jsoup, 63b, True, True, False, 17
Jsoup, 64b, True, True, False, 17
Jsoup, 65b, True, True, False, 16
Jsoup, 66b, True, True, False, 16
Jsoup, 67b, True, True, False, 16
Jsoup, 68b, True, True, False, 16
Jsoup, 69b, True, True, False, 16
Jsoup, 6b, True, True, False, 2
Jsoup, 70b, True, True, False, 16
Jsoup, 71b, True, True, False, 16
Jsoup, 72b, True, True, False, 16
Jsoup, 73b, False, True, False, 16
Jsoup, 74b, True, True, False, 16
Jsoup, 75b, True, True, False, 16
Jsoup, 76b, True, True, False, 16
Jsoup, 77b, True, True, False, 16
Jsoup, 78b, True, True, False, 16
Jsoup, 79b, True, True, False, 16
Jsoup, 7b, True, True, False, 2
Jsoup, 80b, True, True, False, 16
Jsoup, 81b, True, True, False, 16
Jsoup, 82b, True, True, False, 16
Jsoup, 83b, True, True, False, 16
Jsoup, 84b, True, True, False, 16
Jsoup, 85b, True, True, False, 18
Jsoup, 86b, True, True, False, 18
Jsoup, 87b, True, True, False, 18
Jsoup, 88b, True, True, False, 18
Jsoup, 89b, True, True, False, 18
Jsoup, 8b, True, True, False, 2
Jsoup, 90b, True, True, False, 18
Jsoup, 91b, True, True, False, 18
Jsoup, 92b, True, True, False, 18
Jsoup, 93b, True, True, False, 18
Jsoup, 9b, True, True, False, 2
JxPath, 10b, True, True, False, 2
JxPath, 11b, True, True, False, 2
JxPath, 12b, True, True, False, 2
JxPath, 13b, True, True, False, 2
JxPath, 14b, True, True, False, 2
JxPath, 15b, True, True, False, 2
JxPath, 16b, True, True, False, 2
JxPath, 17b, True, True, False, 2
JxPath, 18b, True, True, False, 2
JxPath, 19b, True, True, False, 2
JxPath, 1b, True, True, False, 2
JxPath, 20b, True, True, False, 2
JxPath, 21b, True, True, False, 2
JxPath, 22b, True, True, False, 2
JxPath, 2b, True, True, False, 2
JxPath, 3b, True, True, False, 2
JxPath, 4b, True, True, False, 2
JxPath, 5b, True, True, False, 2
JxPath, 6b, True, True, False, 2
JxPath, 7b, True, True, False, 2
JxPath, 8b, True, True, False, 2
JxPath, 9b, True, True, False, 2
Math, 100b, True, True, False, 1
Math, 101b, True, True, False, 1
Math, 102b, True, True, False, 1
Math, 103b, True, True, False, 1
Math, 104b, True, True, False, 1
Math, 105b, True, True, False, 1
Math, 106b, True, True, False, 1
Math, 10b, True, True, False, 8
Math, 11b, True, True, False, 8
Math, 12b, True, True, False, 8
Math, 13b, True, True, False, 8
Math, 14b, True, True, False, 8
Math, 15b, True, True, False, 8
Math, 16b, True, True, False, 8
Math, 17b, True, True, False, 7
Math, 18b, True, True, False, 7
Math, 19b, True, True, False, 7
Math, 1b, True, True, False, 8
Math, 20b, True, True, False, 7
Math, 21b, True, True, False, 7
Math, 22b, True, True, False, 7
Math, 23b, True, True, False, 7
Math, 24b, True, True, False, 7
Math, 25b, True, True, False, 7
Math, 26b, True, True, False, 7
Math, 27b, True, True, False, 7
Math, 28b, True, True, False, 7
Math, 29b, True, True, False, 7
Math, 2b, True, True, False, 8
Math, 30b, True, True, False, 7
Math, 31b, True, True, False, 7
Math, 32b, True, True, False, 7
Math, 33b, True, True, False, 7
Math, 34b, True, True, False, 7
Math, 35b, True, True, False, 7
Math, 36b, True, True, False, 7
Math, 37b, True, True, False, 7
Math, 38b, True, True, False, 7
Math, 39b, True, True, False, 7
Math, 3b, True, True, False, 8
Math, 40b, True, True, False, 7
Math, 41b, True, True, False, 7
Math, 42b, True, True, False, 7
Math, 43b, True, True, False, 7
Math, 44b, True, True, False, 7
Math, 45b, True, True, False, 7
Math, 46b, True, True, False, 7
Math, 47b, True, True, False, 7
Math, 48b, True, True, False, 7
Math, 49b, True, True, False, 7
Math, 4b, True, True, False, 8
Math, 50b, True, True, False, 7
Math, 51b, True, True, False, 7
Math, 52b, True, True, False, 7
Math, 53b, True, True, False, 7
Math, 54b, True, True, False, 7
Math, 55b, True, True, False, 7
Math, 56b, True, True, False, 7
Math, 57b, True, True, False, 7
Math, 58b, True, True, False, 7
Math, 59b, True, True, False, 7
Math, 5b, True, True, False, 8
Math, 60b, True, True, False, 7
Math, 61b, True, True, False, 7
Math, 62b, True, True, False, 7
Math, 63b, True, True, False, 6
Math, 64b, True, True, False, 6
Math, 65b, True, True, False, 6
Math, 66b, True, True, False, 6
Math, 67b, True, True, False, 6
Math, 68b, True, True, False, 6
Math, 69b, True, True, False, 6
Math, 6b, True, True, False, 8
Math, 70b, True, True, False, 7
Math, 71b, True, True, False, 7
Math, 72b, True, True, False, 7
Math, 73b, True, True, False, 7
Math, 74b, True, True, False, 7
Math, 75b, True, True, False, 7
Math, 76b, True, True, False, 7
Math, 77b, True, True, False, 6
Math, 78b, True, True, False, 6
Math, 79b, True, True, False, 6
Math, 7b, True, True, False, 8
Math, 80b, True, True, False, 6
Math, 81b, True, True, False, 6
Math, 82b, True, True, False, 6
Math, 83b, True, True, False, 6
Math, 84b, True, True, False, 6
Math, 85b, True, True, False, 6
Math, 86b, True, True, False, 7
Math, 87b, True, True, False, 7
Math, 88b, True, True, False, 6
Math, 89b, True, True, False, 5
Math, 8b, True, True, False, 8
Math, 90b, True, True, False, 5
Math, 91b, True, True, False, 5
Math, 92b, True, True, False, 4
Math, 93b, True, True, False, 4
Math, 94b, True, True, False, 4
Math, 95b, True, True, False, 1
Math, 96b, True, True, False, 1
Math, 97b, True, True, False, 1
Math, 98b, True, True, False, 1
Math, 99b, True, True, False, 5
Math, 9b, True, True, False, 8
Time, 10b, False, True, False, 48
Time, 11b, False, True, False, 48
Time, 12b, False, True, False, 14
Time, 13b, False, True, False, 14
Time, 14b, False, True, False, 14
Time, 15b, False, True, False, 14
Time, 16b, False, True, False, 14
Time, 17b, False, True, False, 14
Time, 18b, False, True, False, 14
Time, 19b, False, True, False, 14
Time, 1b, False, True, False, 17
Time, 20b, False, True, False, 14
Time, 22b, False, True, False, 14
Time, 23b, False, True, False, 14
Time, 24b, False, True, False, 14
Time, 25b, False, True, False, 14
Time, 26b, False, True, False, 14
Time, 27b, False, True, False, 14
Time, 2b, False, True, False, 17
Time, 3b, False, True, False, 17
Time, 4b, False, True, False, 17
Time, 5b, False, True, False, 17
Time, 6b, False, True, False, 51
Time, 7b, False, True, False, 51
Time, 8b, False, True, False, 48
Time, 9b, False, True, False, 48
